Date,Low,High,Close,Open
2014-01-31,28.67,34.2,33.55,30.4
2014-01-24,29.91,31.46,30.4,30.66
2014-01-17,28.58,30.02,30.02,29.18
2014-01-10,26.35,29.83,29.35,26.62
2014-01-03,24.63,26.75,26.54,24.87
2013-12-27,24.91,26.49,24.94,26.29
2013-12-20,25.55,26.7658,26.33,26.63
2013-12-13,23.4501,27.2,26.23,23.95
2013-12-06,21.45,23.62,22.55,23.55
2013-11-29,23.45,24.53,23.48,24.45
2013-11-22,23.78,24.81,24.27,24.22
2013-11-15,22.5,25.49,23.89,23.25
2013-11-08,21.9,23.9,23.21,22.6
2013-11-01,21.6,22.99,22.44,22.24
2013-10-25,21.07,23.16,22.15,21.23
2013-10-18,20.26,21.35,21.14,20.52
2013-10-11,19.77,20.77,20.72,20.41
2013-10-04,18.04,20.75,20.53,18.34
2013-09-27,18.54,19.48,19.08,18.89
2013-09-20,17.97,19.21,18.89,18.16
2013-09-13,16.84,18.18,17.87,16.86
2013-09-06,16.11,17.2,16.8,16.38
2013-08-30,15.28,16.73,16.16,16.16
2013-08-23,15.6,16.4,16.16,15.97
2013-08-16,15.35,18.95,16.01,18.49
2013-08-09,18.52,19.25,18.6,18.9
2013-08-02,18.9,19.59,18.92,19.07
2013-07-26,17.85,19.11,19.09,18.25
2013-07-19,17.56,18.93,18.23,17.66
2013-07-12,16.85,17.85,17.56,16.94
2013-07-05,16.04,17.04,16.84,16.5
2013-06-28,15.59,16.64,16.42,16.06
2013-06-21,16.05,17.32,16.34,17.02
2013-06-14,16.64,17.35,16.93,17.09
2013-06-07,15.93,18.2,17.02,17.54
2013-05-31,17.55,18.72,17.57,18.44
2013-05-24,17.44,19.39,18.21,19.05
2013-05-17,17.57,19.7,19.01,17.74
2013-05-10,16.91,17.86,17.76,17.05
2013-05-03,16.56,17.19,17.02,16.7
2013-04-26,15.33,16.73,16.59,15.99
2013-04-19,15.47,16.74,16.02,16.2
2013-04-12,15.53,16.39,16.14,15.82
2013-04-05,15.03,17.13,15.72,17.02
2013-03-28,16.33,17.09,16.97,16.92
2013-03-22,15.71,17.43,16.86,15.8
2013-03-15,14.71,16.54,15.98,14.85
